chrom	start	end
chrX	6780783	6780983
chr8	125860798	125860998
chr8	107960419	107960619
chr8	93916382	93916582
chr7	123183183	123183383
chr7	24502612	24502812
chr7	16378403	16378603
chr6	116358667	116358867
chr5	121591417	121591617
chr5	120700910	120701110
chr5	111055292	111055492
chr5	76240384	76240584
chr5	21025686	21025886
chr4	128056410	128056610
chr4	82816503	82816703
chr4	74484411	74484611
chr4	46894213	46894413
chr4	34860002	34860202
chr4	21976627	21976827
chr3	126614985	126615185
chr3	57788617	57788817
chr2	70097850	70098050
chr19	40502757	40502957
chr19	36496567	36496767
chr19	28291683	28291883
chr18	65592667	65592867
chr17	33678377	33678577
chr16	84821880	84822080
chr16	21612576	21612776
chr16	20555104	20555304
chr14	116446763	116446963
chr14	52314305	52314505
chr14	31400196	31400396
chr13	52847175	52847375
chr12	15531181	15531381
chr11	98032386	98032586
chr10	117827975	117828175
chr10	111881639	111881839
chr10	91162044	91162244
chr10	69964096	69964296
chr1	182360483	182360683
chr18	76259699	76259899
chr8	95718576	95718776
chr7	96710763	96710963
chr6	31037998	31038198
chr2	164973709	164973909
chr13	91463668	91463868
chr11	90400084	90400284
chr1	96768142	96768342
chr1	34409746	34409946
chr9	103523819	103524019
chr9	49748726	49748926
chr8	121248963	121249163
chr8	35649063	35649263
chr7	136060414	136060614
chr7	78297782	78297982
chr7	65663854	65664054
chr7	44485660	44485860
chr6	98288003	98288203
chr6	94584921	94585121
chr5	148204900	148205100
chr5	112972985	112973185
chr5	9570886	9571086
chr4	123413381	123413581
chr4	40975794	40975994
chr3	100896957	100897157
chr2	166792483	166792683
chr19	36006283	36006483
chr18	69674877	69675077
chr18	36373690	36373890
chr17	23997678	23997878
chr15	93555526	93555726
chr15	86102427	86102627
chr15	76002999	76003199
chr15	40877178	40877378
chr15	37673944	37674144
chr15	27477706	27477906
chr14	119511356	119511556
chr14	114229387	114229587
chr13	44308286	44308486
chr13	34877436	34877636
chr11	117360498	117360698
chr11	77663700	77663900
chr11	6055924	6056124
chr10	117676297	117676497
chr10	116404300	116404500
chr1	170170164	170170364
chr1	132006859	132007059
chr1	64617951	64618151
chr1	38826714	38826914
chr9	76172481	76172681
chr9	30108931	30109131
chr7	44486791	44486991
chr7	26051044	26051244
chr7	25341094	25341294
chr6	124861168	124861368
chr5	147641587	147641787
chr2	62454892	62455092
chr18	38194090	38194290
chr11	99124281	99124481
chrX	48193326	48193539
chr9	118606121	118606333
chr9	83836925	83837138
chr9	58448098	58448311
chr9	44567691	44567937
chr9	27150137	27150385
chr8	124523675	124523939
chr8	67948484	67948697
chr8	45796563	45796776
chr7	99970223	99970435
chr7	99603712	99604025
chr6	114286355	114286568
chr6	47021524	47021737
chr5	148548677	148548890
chr5	112552871	112553084
chr4	152959909	152960121
chr4	104417690	104417903
chr4	55172460	55172673
chr4	48683762	48683975
chr4	48610006	48610219
chr4	47273951	47274244
chr3	121735524	121735735
chr3	108277165	108277492
chr3	62477300	62477511
chr3	19758612	19758893
chr2	179758898	179759110
chr2	49745641	49745854
chr2	44486148	44486361
chr2	32569574	32569787
chr19	57473493	57473705
chr19	56713451	56713664
chr19	40991072	40991285
chr19	4301769	4301982
chr19	4262860	4263073
chr18	84855666	84855878
chr18	83453539	83453804
chr18	77109344	77109557
chr18	64798162	64798375
chr18	47242900	47243113
chr18	38143993	38144247
chr18	37092245	37092458
chr18	34371843	34372099
chr17	27574026	27574239
chr16	90710464	90710677
chr16	85059013	85059316
chr16	76330710	76330923
chr16	75767531	75767743
chr16	57181227	57181440
chr16	30604539	30604824
chr16	12117419	12117632
chr15	27931974	27932187
chr15	4947823	4948036
chr14	103182248	103182459
chr13	99494214	99494427
chr13	45917414	45917674
chr13	19438140	19438353
chr12	113041371	113041584
chr12	100988500	100988713
chr12	85563289	85563502
chr12	75555328	75555541
chr12	16836286	16836499
chr11	117743305	117743518
chr11	107261767	107261980
chr11	62669891	62670104
chr11	36351296	36351560
chr11	20021486	20021699
chr10	121690838	121691049
chr10	119885799	119886012
chr10	81259613	81259826
chr10	81005717	81006046
chr10	59901916	59902129
chr1	192346222	192346464
chr1	150681118	150681331
chr1	137585631	137585844
chr1	75587847	75588060
chrX	167462402	167462615
chrX	12453001	12453318
chr9	110422273	110422486
chr9	40807618	40807831
chr8	126598340	126598553
chr8	34120458	34120671
chr7	113280266	113280479
chr5	8997920	8998242
chr4	80933106	80933307
chr3	136999563	136999764
chr2	156520039	156520252
chr2	73751019	73751232
chr2	5636959	5637172
chr18	73933058	73933437
chr18	23884961	23885174
chr17	12419471	12419684
chr17	5056527	5056728
chr16	89825545	89825758
chr16	38689780	38689993
chr12	107962020	107962296
chr12	102021774	102021987
chr12	82286112	82286325
chr11	97449293	97449506
chr11	84048570	84048783
chr11	58039518	58039731
chr10	96828939	96829206
chr10	21554513	21554726
chrX	42057905	42058171
chrX	19166852	19167062
chr9	103169065	103169275
chr9	101152944	101153154
chr9	99431018	99431266
chr9	89792797	89793007
chr9	85856840	85857050
chr9	80449670	80449936
chr9	75338184	75338394
chr9	72749254	72749464
chr9	69195067	69195277
chr9	67572062	67572272
chr9	62768427	62768637
chr9	56134095	56134305
chr9	52144046	52144256
chr9	45440646	45440856
chr9	42324635	42324917
chr9	41099657	41099867
chr9	15319505	15319715
chr8	125342660	125342870
chr8	117415535	117415745
chr8	116047275	116047587
chr8	115722039	115722249
chr8	113964445	113964655
chr8	107457755	107457965
chr8	89685707	89685917
chr8	88062678	88062888
chr8	79150645	79150855
chr8	47670779	47671035
chr8	47113370	47113580
chr8	23848505	23848715
chr8	3227503	3227713
chr7	133782783	133782993
chr7	132822455	132822665
chr7	130510378	130510588
chr7	114749190	114749400
chr7	111455683	111455893
chr7	99061126	99061336
chr7	69061645	69061855
chr7	63957207	63957417
chr7	56114229	56114520
chr7	49270005	49270215
chr7	30086621	30086831
chr7	27654494	27654704
chr6	147434284	147434494
chr6	144419435	144419645
chr6	125413369	125413579
chr6	119335436	119335646
chr6	115702279	115702489
chr6	95477254	95477464
chr6	71778107	71778332
chr6	51694002	51694212
chr6	31081357	31081567
chr6	31079857	31080067
chr5	132470969	132471179
chr5	132300858	132301068
chr5	129067453	129067663
chr5	114776445	114776655
chr5	110854560	110854807
chr5	101938223	101938433
chr5	100077809	100078019
chr5	98306526	98306814
chr5	93103985	93104195
chr5	86783284	86783600
chr5	83355289	83355515
chr5	66481065	66481275
chr5	64280247	64280457
chr5	51899816	51900026
chr5	30001286	30001496
chr5	27224868	27225078
chr5	5261006	5261216
chr4	145137261	145137471
chr4	134929311	134929521
chr4	128807698	128807908
chr4	126217890	126218100
chr4	125637364	125637574
chr4	125558003	125558213
chr4	110203343	110203553
chr4	91277476	91277686
chr4	62944282	62944492
chr4	58642254	58642464
chr4	58271965	58272175
chr4	6897828	6898063
chr3	151085281	151085491
chr3	144679884	144680094
chr3	127004938	127005148
chr3	95243864	95244074
chr3	80773351	80773561
chr3	80207745	80207955
chr3	79989508	79989718
chr3	54806445	54806655
chr3	52017782	52017992
chr3	9647319	9647529
chr3	8929795	8930061
chr3	8902540	8902750
chr2	178579699	178579909
chr2	163155274	163155484
chr2	150947465	150947675
chr2	104320927	104321137
chr2	96820141	96820351
chr2	65552833	65553043
chr2	53110545	53110755
chr2	32921336	32921546
chr2	26920481	26920713
chr19	46618949	46619159
chr19	40490007	40490217
chr19	37572928	37573138
chr19	22421756	22421966
chr19	16187688	16187898
chr19	15798624	15798834
chr18	82613695	82613905
chr18	76145458	76145668
chr18	75775547	75775757
chr18	73813770	73813980
chr18	68658074	68658284
chr18	67385629	67385839
chr18	65524156	65524366
chr18	61586779	61587126
chr18	49534717	49534927
chr18	40181707	40181917
chr18	39353995	39354205
chr18	39234589	39234799
chr18	35287964	35288174
chr18	4630373	4630583
chr17	94116148	94116379
chr17	87640219	87640429
chr17	75033920	75034130
chr17	66520329	66520539
chr17	66323080	66323290
chr17	65728048	65728258
chr17	47842375	47842585
chr17	43592368	43592578
chr17	28992177	28992387
chr17	28455274	28455484
chr17	27082860	27083070
chr17	14606350	14606560
chr17	11303257	11303467
chr17	3513616	3513826
chr16	91996314	91996524
chr16	91660480	91660690
chr16	89974410	89974620
chr16	75007945	75008155
chr16	67638624	67638834
chr16	58027516	58027726
chr16	50843008	50843218
chr16	37636164	37636374
chr16	34000874	34001084
chr15	97683717	97683927
chr15	97667679	97667889
chr15	91395343	91395553
chr15	86067369	86067579
chr15	74869408	74869649
chr15	66988660	66988870
chr15	64706153	64706363
chr15	58153745	58154031
chr15	56497769	56497979
chr15	27495509	27495719
chr14	99611524	99611750
chr14	72869343	72869553
chr14	30902640	30902850
chr14	30317971	30318181
chr14	23997877	23998087
chr13	107736634	107736844
chr13	107095499	107095709
chr13	96270004	96270227
chr13	72506048	72506276
chr13	69511937	69512147
chr13	69392262	69392472
chr13	67271828	67272038
chr13	52041926	52042136
chr13	51677116	51677326
chr13	51603205	51603415
chr13	49117610	49117820
chr13	48932741	48932951
chr13	45924621	45924831
chr13	45911987	45912197
chr13	45837650	45837873
chr13	36696305	36696515
chr13	30096914	30097124
chr13	23988076	23988286
chr12	111711736	111711946
chr12	109369032	109369242
chr12	108914897	108915107
chr12	108894861	108895071
chr12	100369905	100370115
chr12	76325481	76325691
chr12	76018847	76019057
chr12	70713920	70714130
chr12	70238629	70238839
chr12	69834313	69834653
chr12	65428759	65428969
chr12	55837587	55837797
chr12	55007760	55007970
chr11	117063029	117063239
chr11	117013909	117014119
chr11	116406480	116406690
chr11	116349277	116349487
chr11	109365356	109365566
chr11	107979654	107979864
chr11	99200007	99200217
chr11	97207257	97207467
chr11	96866828	96867038
chr11	70569698	70569908
chr11	69268207	69268417
chr11	67622408	67622618
chr11	62624740	62624950
chr11	58012297	58012507
chr11	51415342	51415552
chr11	32127589	32127799
chr10	128692471	128692681
chr10	120977030	120977240
chr10	120882267	120882477
chr10	116290124	116290449
chr10	110484875	110485200
chr10	108738590	108738800
chr10	69859890	69860100
chr10	40379747	40379957
chr10	20928270	20928587
chr10	18692295	18692505
chr1	156041946	156042156
chr1	154477087	154477297
chr1	153120527	153120737
chr1	152514409	152514619
chr1	92232530	92232740
chr1	87454339	87454549
chr1	87416510	87416720
chr1	79561283	79561514
chr1	79406410	79406620
chr1	72228650	72228860
chr1	67113422	67113632
chr1	40362709	40362919
chr1	33765552	33765762
chr1	26426271	26426488
chr1	23899755	23899965
chr1	21029087	21029297
chr1	10880351	10880609
chr8	87668119	87668320
chr18	84916321	84916522
chr15	96690907	96691120
chr15	73162054	73162255
chr13	97380483	97380685
chr11	93569182	93569383
chr11	76500584	76500785
chr11	50200643	50200941
chr10	59601964	59602165
chr10	9642287	9642488
chr3	152606219	152606432
chr3	85249764	85249977
chr3	9798605	9798805
chr2	70167942	70168143
chr16	32822396	32822608
chr15	31585039	31585252
chr11	107859584	107859796
chr11	52113116	52113316
chr1	153696274	153696486
chr1	136175263	136175464
chr1	88998108	88998320
chr1	39870225	39870425
