chrom	start	end
chr1	4667102	4667302
chr1	5117353	5117553
chr1	6165682	6165882
chr1	7139153	7139353
chr1	7540750	7540950
chr1	8912971	8913171
chr1	9805458	9805658
chr1	10008788	10008988
chr1	10880319	10880519
chr1	10919620	10919820
chr1	10955247	10955447
chr1	12683576	12683776
chr1	13150388	13150588
chr1	13197033	13197233
chr1	13220602	13220802
chr1	13780015	13780215
chr1	13846712	13846912
chr1	14739894	14740094
chr1	15603376	15603576
chr1	16614563	16614763
chr1	17054039	17054239
chr1	17155326	17155526
chr1	18315517	18315717
chr1	18583808	18584008
chr1	19826489	19826689
chr1	20520165	20520365
chr1	20787095	20787295
chr1	21029068	21029268
chr1	21154817	21155017
chr1	21418659	21418859
chr1	21522071	21522271
chr1	21973554	21973754
chr1	22664430	22664630
chr1	22695786	22695986
chr1	23776450	23776650
chr1	23834518	23834718
chr1	23897051	23897251
chr1	23899706	23899906
chr1	23977730	23977930
chr1	24108091	24108291
chr1	24304776	24304976
chr1	24550186	24550386
chr1	24557884	24558084
chr1	24572645	24572845
chr1	24611452	24611652
chr1	24612972	24613172
chr1	24616046	24616255
chr1	24684573	24684773
chr1	26426311	26426511
chr1	30419769	30419969
chr1	30786292	30786492
chr1	31133865	31134065
chr1	32773599	32773799
chr1	33269006	33269206
chr1	33765539	33765739
chr1	34121449	34121649
chr1	34409700	34409900
chr1	34664387	34664587
chr1	35403444	35403644
chr1	35528446	35528646
chr1	36269533	36269733
chr1	36548459	36548659
chr1	36590510	36590710
chr1	36699096	36699296
chr1	36811299	36811499
chr1	36831363	36831563
chr1	36835002	36835202
chr1	36884793	36884993
chr1	37138913	37139113
chr1	37212854	37213054
chr1	37368197	37368397
chr1	37530202	37530402
chr1	37532965	37533165
chr1	37580955	37581155
chr1	37608478	37608678
chr1	37666831	37667031
chr1	37687113	37687313
chr1	37718288	37718488
chr1	37726626	37726826
chr1	37742654	37742854
chr1	37743170	37743370
chr1	37965282	37965482
chr1	37965702	37965902
chr1	38503560	38503760
chr1	38591037	38591237
chr1	38620555	38620755
chr1	38658032	38658232
chr1	38749646	38749846
chr1	38826777	38826977
chr1	39196070	39196270
chr1	39206812	39207012
chr1	39226984	39227184
chr1	39271613	39271813
chr1	39280457	39280657
chr1	39311570	39311770
chr1	39314074	39314274
chr1	39731641	39731841
chr1	39747228	39747428
chr1	39870169	39870369
chr1	39940944	39941144
chr1	39950774	39950974
chr1	39993451	39993651
chr1	40024755	40025116
chr1	40026352	40026552
chr1	40066235	40066435
chr1	40362767	40362967
chr1	40440135	40440335
chr1	40659032	40659232
chr1	40943196	40943396
chr1	41272035	41272235
chr1	41520864	41521064
chr1	42630089	42630289
chr1	43068502	43068702
chr1	43310889	43311089
chr1	43467611	43467825
chr1	43615898	43616098
chr1	44100305	44100505
chr1	45466817	45467017
chr1	46204820	46205020
chr1	47725038	47725238
chr1	49072926	49073126
chr1	51297724	51297924
chr1	51747603	51747803
chr1	51873352	51873552
chr1	51910517	51910717
chr1	52106846	52107046
chr1	52243210	52243410
chr1	52306926	52307126
chr1	52648980	52649180
chr1	52798852	52799052
chr1	53773847	53774047
chr1	53876027	53876227
chr1	54251290	54251490
chr1	54965708	54965908
chr1	55202550	55202750
chr1	55224283	55224483
chr1	56236764	56236964
chr1	56955786	56955986
chr1	56984542	56984742
chr1	57220616	57220816
chr1	57326199	57326399
chr1	57339514	57339714
chr1	57822230	57822430
