chrom	start	end
chr7	35733013	35733213
chr12	17435663	17435863
chr9	110229459	110229659
chr9	106045033	106045233
chr9	101553641	101553841
chr9	69212631	69212831
chr9	45532276	45532476
chr9	29581878	29582078
chr6	124992194	124992394
chr6	101837538	101837738
chr4	92153125	92153325
chr4	88879034	88879234
chr4	36576740	36576940
chr4	24241311	24241511
chr3	128186867	128187067
chr3	107449863	107450063
chr3	23200085	23200285
chr2	141344336	141344536
chr2	6143580	6143780
chr18	43662593	43662793
chr17	49247323	49247523
chr16	84824673	84824873
chr16	38219845	38220045
chr14	106354457	106354657
chr14	68209178	68209378
chr14	60035302	60035502
chr12	76387160	76387360
chr11	98466635	98466835
chr10	113240503	113240703
chr10	62971718	62971918
chr1	194063433	194063633
chr1	168598580	168598780
chr1	143541404	143541604
chr1	91811148	91811348
chr9	112612776	112612976
chr9	104003546	104003746
chr9	103669314	103669514
chr8	120950854	120951054
chr8	46770203	46770403
chr7	61666972	61667172
chr5	83327475	83327675
chr4	81588397	81588597
chr3	156586941	156587141
chr3	144827170	144827370
chr3	122466352	122466552
chr3	76573172	76573372
chr3	55285222	55285422
chr2	180744443	180744643
chr2	106217816	106218016
chr2	28222925	28223125
chr19	57991362	57991562
chr18	24157828	24158028
chr17	73361233	73361433
chr16	89700816	89701016
chr16	87498045	87498245
chr15	6674658	6674858
chr14	21547372	21547572
chr12	99026523	99026723
chr11	95455452	95455652
chr11	4803843	4804043
chr10	119929781	119929981
chr10	107008641	107008841
chr10	99709721	99709921
chr10	68208455	68208655
chr10	20056533	20056733
chr1	173414621	173414821
chr1	165487546	165487746
chr1	122230451	122230651
chr1	90034575	90034775
chr1	71264132	71264332
chrX	169820792	169821014
chr9	113606416	113606627
chr9	109892540	109892804
chr9	73652863	73653074
chr9	73563020	73563291
chr9	69507032	69507243
chr9	60868577	60868814
chr9	46504713	46504924
chr9	42949757	42949968
chr9	26576025	26576366
chr8	128684800	128685011
chr8	121052613	121052824
chr8	118189082	118189393
chr8	113672342	113672553
chr8	109451097	109451393
chr8	102751757	102751970
chr8	73104107	73104396
chr8	62981558	62981769
chr8	52445719	52446082
chr8	45583499	45583807
chr8	44957697	44957908
chr8	41772318	41772587
chr8	40321582	40321793
chr8	26916760	26916971
chr8	26210253	26210464
chr8	23605699	23606048
chr8	12579256	12579467
chr8	8097796	8098125
chr7	140800257	140800473
chr7	140281602	140281813
chr7	132276821	132277084
chr7	132187711	132187922
chr7	126327226	126327437
chr7	122379227	122379523
chr7	117501785	117501996
chr7	103740646	103740920
chr7	79783663	79783874
chr7	64158920	64159131
chr7	37833534	37833752
chr7	34545897	34546193
chr7	31881583	31881794
chr7	30113611	30113822
chr7	5167083	5167294
chr6	145916298	145916626
chr6	137425996	137426207
chr6	104249791	104250069
chr6	87615444	87615655
chr6	79818129	79818393
chr6	60779121	60779332
chr6	49930653	49930864
chr6	33257208	33257429
chr6	28787959	28788170
chr6	23729285	23729496
chr6	21693093	21693312
chr6	20014692	20014903
chr6	15408684	15408895
chr6	4382080	4382291
chr5	148508163	148508374
chr5	146897085	146897376
chr5	139625998	139626262
chr5	136649133	136649344
chr5	118778239	118778540
chr5	117569471	117569729
chr5	117459348	117459559
chr5	117389761	117389972
chr5	116208644	116208953
chr5	112110610	112110852
chr5	104091146	104091369
chr5	85404781	85405109
chr5	69528900	69529115
chr5	69141164	69141504
chr5	58823091	58823423
chr5	53922793	53923004
chr5	49844506	49844810
chr5	48058686	48058953
chr5	4079530	4079818
chr4	154771740	154772041
chr4	150997538	150997749
chr4	141977464	141977675
chr4	138923883	138924098
chr4	138011787	138011998
chr4	137628064	137628328
chr4	113965203	113965414
chr4	88301117	88301328
chr4	71441821	71442141
chr4	46310053	46310264
chr4	7364873	7365084
chr3	149705664	149705914
chr3	143624382	143624593
chr3	115949990	115950201
chr3	97100958	97101169
chr3	76422482	76422693
chr3	41901908	41902224
