chrom	start	end
chr1	20520165	20520365
chr1	21418659	21418859
chr1	23834518	23834718
chr1	34121449	34121649
chr1	35528446	35528646
chr1	40440135	40440335
chr1	41520864	41521064
chr1	52306926	52307126
chr1	53773847	53774047
chr1	57822230	57822430
chr1	60668318	60668518
chr1	64277654	64277854
chr1	82592567	82592767
chr1	92835842	92836042
chr1	98395427	98395627
chr1	119802634	119802834
chr1	120824667	120824867
chr1	126557428	126557628
chr1	132522982	132523182
chr1	132948211	132948411
chr1	152899747	152899947
chr1	153741617	153741817
chr1	163399014	163399214
chr1	171192411	171192611
chr1	175887751	175887951
chr1	176934514	176934714
chr1	182086140	182086340
chr1	182297118	182297318
chr1	186546435	186546635
chr1	190080293	190080493
chr10	11491890	11492104
chr10	12726323	12726523
chr10	25507892	25508092
chr10	43059608	43059808
chr10	53993676	53993876
chr10	58714462	58714678
chr10	61150633	61150833
chr10	62119399	62119599
chr10	69099511	69099711
chr10	71147057	71147257
chr10	72596328	72596528
chr10	83107841	83108041
chr10	83178059	83178259
chr10	88568700	88568900
chr10	90155282	90155482
chr10	109683729	109683929
chr10	121223033	121223233
chr10	123160597	123160797
chr10	125324499	125324699
chr10	129139246	129139446
chr11	29052915	29053115
chr11	31515965	31516165
chr11	32108840	32109040
chr11	34305909	34306109
chr11	35360683	35360883
chr11	35553427	35553627
chr11	36043632	36043832
chr11	36623827	36624027
chr11	45503482	45503682
chr11	50744864	50745064
chr11	52359704	52359904
chr11	54071658	54071858
chr11	55978523	55978723
chr11	56863940	56864140
chr11	60545573	60545779
chr11	61499891	61500091
chr11	64335461	64335661
chr11	64599121	64599321
chr11	78381070	78381270
chr11	80678494	80678694
chr11	87319251	87319451
chr11	90586290	90586490
chr11	92866514	92866714
chr11	95651073	95651273
chr11	101454570	101454770
chr11	107432741	107432941
chr11	107778180	107778380
chr11	109903259	109903459
chr11	117341057	117341257
chr11	118327692	118327892
chr11	119363943	119364143
chr12	4007867	4008067
chr12	5089244	5089444
chr12	8257289	8257489
chr12	16515736	16515936
chr12	46765825	46766025
chr12	61316786	61316986
chr12	65413412	65413612
chr12	85194894	85195094
chr12	85910859	85911059
chr12	85970393	85970593
chr12	86814785	86814985
chr12	98619884	98620084
chr12	99468173	99468373
chr12	103581882	103582082
chr12	104754417	104754617
chr12	106115859	106116059
chr12	106699711	106699911
chr12	111709272	111709472
chr12	111978841	111979041
chr12	112587925	112588125
chr13	3118694	3118894
chr13	3758692	3758892
chr13	11992361	11992561
chr13	27174415	27174615
chr13	36554925	36555125
chr13	41550306	41550506
chr13	46266388	46266588
chr13	46945732	46945932
chr13	48384555	48384755
chr13	48958624	48958824
chr13	55957431	55957631
chr13	56892340	56892540
chr13	57430228	57430428
chr13	59619774	59619974
chr13	59916451	59916651
chr13	66603597	66603797
chr13	69779010	69779210
chr13	71064743	71064943
chr13	79048158	79048358
chr13	88234207	88234407
chr13	97012582	97012782
chr13	109752531	109752731
chr13	111291629	111291829
chr13	111990658	111990858
chr13	112212255	112212455
chr13	113222697	113222897
chr13	113725265	113725465
chr14	12035411	12035611
chr14	28033282	28033482
chr14	30810715	30810915
chr14	36212071	36212271
chr14	40023762	40023962
chr14	47341997	47342197
chr14	63073935	63074135
chr14	63322077	63322277
chr14	76150641	76150841
chr14	76882536	76882736
chr14	86743200	86743400
chr14	99929728	99929928
chr14	115196430	115196630
chr14	115340543	115340743
chr14	119199425	119199625
chr14	120020554	120020754
chr14	121764081	121764281
chr15	7154434	7154669
chr15	8713267	8713467
chr15	12916411	12916611
chr15	30524911	30525111
chr15	33910468	33910668
chr15	57745211	57745411
chr15	63872512	63872712
chr15	64267456	64267656
chr15	64373532	64373732
chr15	73687261	73687461
chr15	74196026	74196226
chr15	76775456	76775656
chr15	81422000	81422200
chr15	97123464	97123664
chr16	19009503	19009703
chr16	31593419	31593619
chr16	55419565	55419765
chr16	92720540	92720740
chr17	5101144	5101344
chr17	5566171	5566371
chr17	6105212	6105412
chr17	7840732	7840932
chr17	12688924	12689124
chr17	25560956	25561156
chr17	25943775	25943975
