chrom	start	end
chr1	6165682	6165882
chr1	9805458	9805658
chr1	10919620	10919820
chr1	13150388	13150588
chr1	15603376	15603576
chr1	18315517	18315717
chr1	18583808	18584008
chr1	20520165	20520365
chr1	21418659	21418859
chr1	21973554	21973754
chr1	23834518	23834718
chr1	24304776	24304976
chr1	33269006	33269206
chr1	34121449	34121649
chr1	34664387	34664587
chr1	35528446	35528646
chr1	36590510	36590710
chr1	37138913	37139113
chr1	37212854	37213054
chr1	37580955	37581155
chr1	37965282	37965482
chr1	38591037	38591237
chr1	39731641	39731841
chr1	39950774	39950974
chr1	40026352	40026552
chr1	40440135	40440335
chr1	41272035	41272235
chr1	41520864	41521064
chr1	43068502	43068702
chr1	43310889	43311089
chr1	44100305	44100505
chr1	52306926	52307126
chr1	53773847	53774047
chr1	55224283	55224483
chr1	57326199	57326399
chr1	57822230	57822430
chr1	59309174	59309374
chr1	60361320	60361520
chr1	60668318	60668518
chr1	62902011	62902211
chr1	63897583	63897783
chr1	64277654	64277854
chr1	66638269	66638469
chr1	66871767	66871967
chr1	67055303	67055503
chr1	71264138	71264338
chr1	73734754	73734954
chr1	74387562	74387762
chr1	75749834	75750037
chr1	76403542	76403742
chr1	77463325	77463525
chr1	77517557	77517757
chr1	80323706	80323906
chr1	80606353	80606553
chr1	82592567	82592767
chr1	86053576	86053776
chr1	87640441	87640683
chr1	88271663	88271863
chr1	89470881	89471081
chr1	89483493	89483693
chr1	90034499	90034699
chr1	91811089	91811289
chr1	92835842	92836042
chr1	92838107	92838307
chr1	93095702	93095902
chr1	94525638	94525838
chr1	95115503	95115703
chr1	96174369	96174569
chr1	97714559	97714759
chr1	98395427	98395627
chr1	102290110	102290310
chr1	105427857	105428057
chr1	105437582	105437782
chr1	112858597	112858797
chr1	119295279	119295479
chr1	119802634	119802834
chr1	120824667	120824867
chr1	121679751	121679951
chr1	122230495	122230695
chr1	122275821	122276021
chr1	126557428	126557628
chr1	129372891	129373091
chr1	130704869	130705069
chr1	131053014	131053214
chr1	131547262	131547462
chr1	132522982	132523182
chr1	132948211	132948411
chr1	134077280	134077480
chr1	137262540	137262740
chr1	137701305	137701505
chr1	142718360	142718560
chr1	143541353	143541553
chr1	143609933	143610133
chr1	144190380	144190580
chr1	146257013	146257213
chr1	152899747	152899947
chr1	153741617	153741817
chr1	154779862	154780062
chr1	154790768	154790968
chr1	154888669	154888869
