chrom	start	end
chr7	122292401	122292601
chr7	78669308	78669508
chr6	72888815	72889015
chr4	94948714	94948914
chr4	85340781	85340981
chr4	45142881	45143081
chr18	15169614	15169814
chr14	65605230	65605430
chr14	55634962	55635162
chr14	46902783	46902983
chr13	30604217	30604417
chr11	94528753	94528953
chr11	69571780	69571980
chr1	91942089	91942289
chr1	89627665	89627865
chrX	35994308	35994508
chr9	122019632	122019832
chr9	112176531	112176731
chr9	89912532	89912732
chr9	77427541	77427741
chr9	72496628	72496828
chr9	67620936	67621136
chr9	60683854	60684054
chr9	51656324	51656524
chr9	45338254	45338454
chr9	29617727	29617927
chr9	27144513	27144713
chr9	24909046	24909246
chr9	23254634	23254834
chr8	123846840	123847040
chr8	122362328	122362528
chr8	88362329	88362529
chr8	84479874	84480074
chr8	72937984	72938184
chr8	72354448	72354648
chr8	67810600	67810800
chr8	61512068	61512268
chr8	47704955	47705155
chr8	46996230	46996430
chr8	29362192	29362392
chr8	23187652	23187852
chr8	18856535	18856735
chr8	14653004	14653204
chr8	8831398	8831598
chr7	139638080	139638280
chr7	117829398	117829598
chr7	115450114	115450314
chr7	109150444	109150644
chr7	102077126	102077326
chr7	99085255	99085455
chr7	91716575	91716775
chr7	91133868	91134068
chr7	89146568	89146768
chr7	81830343	81830543
chr7	73791294	73791494
chr7	72837562	72837762
chr7	57418861	57419061
chr7	34576803	34577003
chr7	29151587	29151787
chr7	4823328	4823528
chr7	4084455	4084655
chr6	146007861	146008061
chr6	143443329	143443529
chr6	142538637	142538837
chr6	141268468	141268668
chr6	140679206	140679406
chr6	125119431	125119631
chr6	118528989	118529189
chr6	112756722	112756922
chr6	98246575	98246775
chr6	92405337	92405537
chr6	91865701	91865901
chr6	83370393	83370593
chr6	61240379	61240579
chr6	28817300	28817500
chr5	148452988	148453188
chr5	139140748	139140948
chr5	136090424	136090624
chr5	132126736	132126936
chr5	125794354	125794554
chr5	122599764	122599964
chr5	122166756	122166956
chr5	118422721	118422921
chr5	115720740	115720940
chr5	108030047	108030247
chr5	105444925	105445125
chr5	102047574	102047774
chr5	99387541	99387741
chr5	65234889	65235089
chr5	51712768	51712968
chr5	44659803	44660003
chr4	152382526	152382726
chr4	152088498	152088698
chr4	150339035	150339235
chr4	149057124	149057324
chr4	147272192	147272392
chr4	142411130	142411330
chr4	140109171	140109371
chr4	125929401	125929601
chr4	59889600	59889800
chr4	58793589	58793789
chr4	57321100	57321300
chr4	31830380	31830580
chr4	11703173	11703373
chr4	6514074	6514274
chr3	129168323	129168523
chr3	123504436	123504636
chr3	116536595	116536795
chr3	103081045	103081245
chr3	88148728	88148928
chr2	181538131	181538331
chr2	180169994	180170194
chr2	174336952	174337152
chr2	169621447	169621647
chr2	159392937	159393137
chr2	158734091	158734291
chr2	156152995	156153195
chr2	135231790	135231990
chr2	132651138	132651338
chr2	125780807	125781007
chr2	117178008	117178208
chr2	104663321	104663521
chr2	91925427	91925627
chr2	90783456	90783656
chr2	80869797	80869997
chr2	73427682	73427882
chr2	59463528	59463728
chr2	49672721	49672921
chr2	37739121	37739321
chr2	33775005	33775205
chr2	33123821	33124021
chr2	32957448	32957648
chr2	20293995	20294195
chr2	7357883	7358083
chr19	38517368	38517568
chr19	37579800	37580000
chr18	82935178	82935378
chr18	81507714	81507914
chr18	81366207	81366407
chr18	77715038	77715238
chr18	75562488	75562688
chr18	73292712	73292912
chr18	65222573	65222773
chr18	63334439	63334639
chr18	60779685	60779885
chr18	60359055	60359255
chr18	53161618	53161818
chr17	83758236	83758436
chr17	74968778	74968978
chr17	69264268	69264468
chr17	69227421	69227621
chr17	63114805	63115005
chr17	44166892	44167092
chr17	44043112	44043312
chr17	29845115	29845315
chr17	11957007	11957207
chr17	5562313	5562513
chr16	95997106	95997306
chr16	92644164	92644364
chr16	85058296	85058496
chr16	85021212	85021412
chr16	70869212	70869412
chr16	37676142	37676342
chr16	35111565	35111765
chr16	29772911	29773111
chr16	22491523	22491723
chr16	18460240	18460440
chr16	8002032	8002232
chr15	102315330	102315530
chr15	100883235	100883435
chr15	99395385	99395585
chr15	99395184	99395384
chr15	95920206	95920406
chr15	77244291	77244491
chr15	58731984	58732184
chr15	51444634	51444834
chr15	45814398	45814598
chr15	25854646	25854846
chr15	12168366	12168566
chr14	120416892	120417092
chr14	74701332	74701532
chr14	74313151	74313351
chr14	70575266	70575466
chr14	66850069	66850269
chr14	64921673	64921873
chr14	64222537	64222737
chr14	54086267	54086467
chr14	51071302	51071502
chr14	47937092	47937292
chr14	45221953	45222153
chr14	27105624	27105824
chr14	18939814	18940014
chr13	108498843	108499043
chr13	97469351	97469551
chr13	88064468	88064668
chr13	55502575	55502775
chr13	49121532	49121732
chr13	45582422	45582622
chr13	43109410	43109610
chr13	34132056	34132256
chr13	33828187	33828387
chr13	30659331	30659531
chr13	29913696	29913896
chr13	16977693	16977893
chr12	117755992	117756192
chr12	110457819	110458019
chr12	109612788	109612988
chr12	105862690	105862890
chr12	105520611	105520811
chr12	102413511	102413711
chr12	82756831	82757031
chr12	81992284	81992484
chr12	78858394	78858594
chr12	76867884	76868084
chr12	76863647	76863847
chr12	71837130	71837330
chr12	70673420	70673620
chr12	69761129	69761329
chr12	67239133	67239333
chr12	52396839	52397039
chr12	45671181	45671381
chr12	36333818	36334018
chr12	28863295	28863495
chr12	27158295	27158495
chr12	24872797	24872997
chr12	3789361	3789561
chr12	3285592	3285792
chr11	120594896	120595096
chr11	119685269	119685469
chr11	104254650	104254850
chr11	101642707	101642907
chr11	100181770	100181970
chr11	98878439	98878639
chr11	98799083	98799283
chr11	94216893	94217093
chr11	81636815	81637015
chr11	78279638	78279838
chr11	69656884	69657084
chr11	44508702	44508902
chr11	24484006	24484206
chr11	23634628	23634828
chr11	23489837	23490037
chr11	6150469	6150669
chr11	5271886	5272086
chr11	4543785	4543985
chr10	127564266	127564466
chr10	119762140	119762340
chr10	109723327	109723527
chr10	108879948	108880148
chr10	106263212	106263412
chr10	99587530	99587730
chr10	93532111	93532311
chr10	83600855	83601055
chr10	80583270	80583470
chr10	78409523	78409723
chr10	78101751	78101951
chr10	70559938	70560138
chr10	62550880	62551080
chr10	41697083	41697283
chr10	26567642	26567842
chr10	20150358	20150558
chr10	8198777	8198977
chr1	193106527	193106727
chr1	192525718	192525918
chr1	191132349	191132549
chr1	188810114	188810314
chr1	184664271	184664471
chr1	182727807	182728007
chr1	179978290	179978490
chr1	174558558	174558758
chr1	170387359	170387559
chr1	157169297	157169497
chr1	120232149	120232349
chr1	92521587	92521787
chr1	87848603	87848803
chr1	87501932	87502132
chr1	82609033	82609233
chr1	76259366	76259566
chr1	75563765	75563965
chr1	75250314	75250514
chr1	59826515	59826715
chr1	39747218	39747418
chr1	24108175	24108375
chr1	23897068	23897268
chr1	22695689	22695889
chr9	90182127	90182336
chr9	77964006	77964231
chr9	42094868	42095077
chr8	123830356	123830695
chr8	122006695	122006934
chr8	47286068	47286296
chr7	116514553	116514762
chr7	112336820	112337134
chr7	99015612	99015821
chr7	34869778	34869987
chr6	124744810	124745088
chr6	99644197	99644406
chr6	71709053	71709262
chr6	17099574	17099783
chr5	137529285	137529550
chr5	106097250	106097567
chr4	126238077	126238284
chr4	108890992	108891255
chr4	32524400	32524609
chr2	165719363	165719683
chr2	158049257	158049485
chr2	157915263	157915472
chr2	116908343	116908647
chr2	29526438	29526654
chr19	57625804	57626097
chr19	23003815	23004024
chr18	53896279	53896488
chr17	56423200	56423440
chr17	48393169	48393484
chr17	28023321	28023605
chr17	5014244	5014453
chr16	17890014	17890223
chr13	73509937	73510146
chr13	55595462	55595671
chr12	82367431	82367640
chr12	76676451	76676660
chr12	17646527	17646736
chr11	116873871	116874095
chr11	97543413	97543721
chr11	58586382	58586620
chr11	56034598	56034839
chr10	70058510	70058738
chr10	62553747	62554088
chr10	23091849	23092160
chr1	172551221	172551430
chr1	40024717	40025054
chr1	37368188	37368455
chrX	75817829	75818038
chrX	65111834	65112034
chrX	35838190	35838399
chrX	10492985	10493185
chr9	115302426	115302662
chr9	115207381	115207590
chr9	113019579	113019779
chr9	110820290	110820490
chr9	108596911	108597111
chr9	100547041	100547241
chr9	94911980	94912180
chr9	79965819	79966028
chr9	68780333	68780533
chr9	68561830	68562056
chr9	67089320	67089520
chr9	67044689	67044889
chr9	56981236	56981436
chr9	55093515	55093784
chr9	54672262	54672462
chr9	50154662	50154862
chr9	48796855	48797055
chr9	42023823	42024032
chr9	41556852	41557061
chr9	35917137	35917337
chr9	14623289	14623498
chr8	126208335	126208544
chr8	125186925	125187125
chr8	123907717	123907926
chr8	122641416	122641616
chr8	122069271	122069471
chr8	122012022	122012222
chr8	120552212	120552412
chr8	120523733	120523933
chr8	119964974	119965183
chr8	119550606	119550806
chr8	109416362	109416562
chr8	91126932	91127132
chr8	90686505	90686705
chr8	88580000	88580246
chr8	86845329	86845529
chr8	79180033	79180233
chr8	71282215	71282415
chr8	70278318	70278527
chr8	70201442	70201642
chr8	40587012	40587279
chr8	15339132	15339332
chr8	14549511	14549825
chr8	12924871	12925147
chr8	11970587	11970787
chr8	11624633	11624842
chr7	141612925	141613125
chr7	139686175	139686375
chr7	133609632	133609949
chr7	130622707	130623008
chr7	125645514	125645781
chr7	122410005	122410205
chr7	113257827	113258027
chr7	112376654	112376854
chr7	101061889	101062089
chr7	90128926	90129126
chr7	70313039	70313239
chr7	64024380	64024682
chr7	49408832	49409063
chr7	47025416	47025616
chr7	30962088	30962288
chr7	25241620	25241820
chr7	16916831	16917031
chr7	16747103	16747312
chr7	13033727	13033927
chr6	148354484	148354684
chr6	148238338	148238538
chr6	146991078	146991278
chr6	146271061	146271261
chr6	145431843	145432043
chr6	140535632	140535832
chr6	137416185	137416385
chr6	134864776	134865080
chr6	126773887	126774187
chr6	126769369	126769578
chr6	126706516	126706716
chr6	124521610	124521819
chr6	120443789	120443989
chr6	114414493	114414702
chr6	113799292	113799501
chr6	113576401	113576610
chr6	97221851	97222060
chr6	92016847	92017056
chr6	70744053	70744301
chr6	48413883	48414092
chr6	37256130	37256339
chr6	32425969	32426169
chr6	31141527	31141736
chr6	30212367	30212576
chr6	24570537	24570812
chr5	151353739	151353939
chr5	149989218	149989418
chr5	149553442	149553642
chr5	146706560	146706760
chr5	142433413	142433622
chr5	141728443	141728652
chr5	140364892	140365092
chr5	139388554	139388754
chr5	130146116	130146316
chr5	128808278	128808478
chr5	125515753	125515953
chr5	124478685	124478970
chr5	124207912	124208219
chr5	124062681	124062890
chr5	124001189	124001398
chr5	123992155	123992364
chr5	123530969	123531169
chr5	122443936	122444136
chr5	117551470	117551670
chr5	111269434	111269634
chr5	107232801	107233001
chr5	105434263	105434463
chr5	103775363	103775572
chr5	102085310	102085519
chr5	101172876	101173111
chr5	92071719	92071919
chr5	81448032	81448241
chr5	76815853	76816053
chr5	74629143	74629352
chr5	74133029	74133229
chr5	73227502	73227702
chr5	66576392	66576612
chr5	65965913	65966113
chr5	52533953	52534153
chr5	47317662	47317862
chr5	43592853	43593062
chr5	33026576	33026776
chr5	24417044	24417244
chr5	23836331	23836540
chr5	23497816	23498016
chr5	22247746	22247955
chr5	20229874	20230074
chr4	155196684	155196893
chr4	155071509	155071718
chr4	154764287	154764600
chr4	138128817	138129026
chr4	138021450	138021650
chr4	136911973	136912173
chr4	129346496	129346705
chr4	127780724	127780924
chr4	125116826	125117026
chr4	120122462	120122662
chr4	119988160	119988369
chr4	111624889	111625098
chr4	108245844	108246044
chr4	106437395	106437595
chr4	88939260	88939469
chr4	87227770	87227970
chr4	83269701	83269910
chr4	67465724	67465933
chr4	58894564	58894764
chr4	53591908	53592108
chr4	44306947	44307163
chr4	40885233	40885433
chr4	35096389	35096589
chr4	14771088	14771419
chr4	9444226	9444426
chr4	6037508	6037708
chr3	152158969	152159169
chr3	148935187	148935396
chr3	135557356	135557588
chr3	132428177	132428377
chr3	126363227	126363427
chr3	123298432	123298632
chr3	108330874	108331083
chr3	107500405	107500616
chr3	103532100	103532309
chr3	94878902	94879111
chr3	90078756	90078991
chr3	89704579	89704779
chr3	87500186	87500470
chr3	85536129	85536329
chr3	83178766	83178975
chr3	81983240	81983440
chr3	69342819	69343019
chr3	55897715	55897924
chr3	55496438	55496638
chr3	55494452	55494652
chr3	39630841	39631050
chr3	32660175	32660545
chr3	29349596	29349805
chr3	28612435	28612635
chr3	15928927	15929187
chr2	172894965	172895174
chr2	170338351	170338551
chr2	169641555	169641764
chr2	168393848	168394048
chr2	167080036	167080245
chr2	165520934	165521134
chr2	164749174	164749374
