chrom	start	end
chr9	84049000	84049200
chr8	124317465	124317665
chr8	122899893	122900093
chr8	96998383	96998583
chr7	102514234	102514434
chr6	88011912	88012112
chr5	16552815	16553015
chr4	89715476	89715676
chr3	117590845	117591045
chr3	89723801	89724001
chr2	179908337	179908537
chr2	122381280	122381480
chr2	102008303	102008503
chr2	59259124	59259324
chr19	59697604	59697804
chr18	69474520	69474720
chr17	8958110	8958310
chr16	38688853	38689053
chr15	87241603	87241803
chr15	84218724	84218924
chr14	120284079	120284279
chr14	64103872	64104072
chr12	29933984	29934184
chr11	46073466	46073666
chr11	24005129	24005329
chr10	42467496	42467696
chr10	7664191	7664391
chr1	83066989	83067189
chrX	105542702	105542902
chrX	13788548	13788748
chr9	122576606	122576806
chr9	115393911	115394111
chr9	112748234	112748434
chr9	105962364	105962564
chr9	103867959	103868159
chr9	101038763	101038963
chr9	98690786	98690986
chr9	78296510	78296710
chr9	69155542	69155742
chr9	57914024	57914224
chr9	48538947	48539147
chr9	10323831	10324031
chr8	119295630	119295830
chr8	117871848	117872048
chr8	111139588	111139788
chr8	103518069	103518269
chr8	44694971	44695171
chr8	36447425	36447625
chr8	35768040	35768240
chr8	28646652	28646852
chr7	144935907	144936107
chr7	141929026	141929226
chr7	100737538	100737738
chr7	97764732	97764932
chr7	66084602	66084802
chr7	45690211	45690411
chr6	135900300	135900500
chr6	119767800	119768000
chr6	108772841	108773041
chr6	98384291	98384491
chr6	89676595	89676795
chr6	82694715	82694915
chr6	64480588	64480788
chr6	31010556	31010756
chr5	128763125	128763325
chr5	114921848	114922048
chr5	107524572	107524772
chr5	101837177	101837377
chr5	89860764	89860964
chr5	89123673	89123873
chr5	57743173	57743373
chr5	44414414	44414614
chr5	3392867	3393067
chr4	137294075	137294275
chr4	129379739	129379939
chr4	126239721	126239921
chr4	119964569	119964769
chr4	105014278	105014478
chr4	92638551	92638751
chr4	85918481	85918681
chr4	43473761	43473961
chr3	131656331	131656531
chr3	116119494	116119694
chr3	103426457	103426657
chr3	69438947	69439147
chr3	38544882	38545082
chr3	25548952	25549152
chr3	21033832	21034032
chr3	9034071	9034271
chr2	151116766	151116966
chr2	148206233	148206433
chr2	136150960	136151160
chr2	135850155	135850355
chr2	132797698	132797898
chr2	130737910	130738110
chr2	129071582	129071782
chr2	118099729	118099929
chr2	81023104	81023304
chr2	76511636	76511836
chr2	72260272	72260472
chr2	52042522	52042722
chr2	35385689	35385889
chr2	31552147	31552347
chr2	30818361	30818561
chr2	29542142	29542342
chr2	29062152	29062352
chr2	20628835	20629035
chr19	55448533	55448733
chr19	42164396	42164596
chr19	10117948	10118148
chr18	68620193	68620393
chr18	65618733	65618933
chr18	60598351	60598551
chr18	60567724	60567924
chr18	34250651	34250851
chr17	87867007	87867207
chr17	87327527	87327727
chr17	83324397	83324597
chr17	64287978	64288178
chr17	51810531	51810731
chr17	47500989	47501189
chr17	4998708	4998908
chr16	84969235	84969435
chr16	44059193	44059393
chr16	31183372	31183572
chr16	28925094	28925294
chr16	14141221	14141421
chr16	6532019	6532219
chr15	95377806	95378006
chr15	92499362	92499562
chr15	82256774	82256974
chr15	37435964	37436164
chr15	26108001	26108201
chr14	121662740	121662940
chr14	103664844	103665044
chr14	101902063	101902263
chr14	85457456	85457656
chr14	67369611	67369811
chr14	65276292	65276492
chr14	29067164	29067364
chr14	26521513	26521713
chr14	25665493	25665693
chr14	25236332	25236532
chr14	16442230	16442430
chr13	101442057	101442257
chr13	93013126	93013326
chr13	90904798	90904998
chr13	71784888	71785088
chr13	54887926	54888126
chr13	46855732	46855932
chr13	44361071	44361271
chr12	110611051	110611251
chr12	107401996	107402196
chr12	105714137	105714337
chr12	104636590	104636790
chr12	101890606	101890806
chr12	69856735	69856935
chr12	52925722	52925922
chr11	113209228	113209428
chr11	98248741	98248941
chr11	84798772	84798972
chr11	57887839	57888039
chr11	52101692	52101892
chr11	37231301	37231501
chr11	32708385	32708585
chr10	127161543	127161743
chr10	107452281	107452481
chr10	101969354	101969554
chr10	99023206	99023406
chr10	94428330	94428530
chr10	88376628	88376828
chr10	75743496	75743696
chr10	58396269	58396469
chr10	46006386	46006586
chr10	29161782	29161982
chr10	20491820	20492020
chr1	188668085	188668285
chr1	186095991	186096191
chr1	180193600	180193800
chr1	157204459	157204659
chr1	140526214	140526414
chr1	98002553	98002753
chr1	93769840	93770040
chr1	89049634	89049834
chr1	86377428	86377628
chr1	84726538	84726738
chr1	80291403	80291603
chr1	77896087	77896287
chr1	61473352	61473552
chr1	8913055	8913255
chr9	118508538	118508738
chr9	110281305	110281505
chr8	117124118	117124318
chr8	68808252	68808452
