chrom	start	end
chr1	121677551	121677751
chr3	86545434	86545634
chr4	16417722	16417922
chr9	60122140	60122340
chr19	38500579	38500779
chr2	45241124	45241324
chr17	67068550	67068750
chr19	24617582	24617782
chr2	26101753	26101974
chr12	99028765	99028965
chr4	146064619	146064819
chr17	28280080	28280280
chr11	52110849	52111049
chr7	101481271	101481471
chr15	65595197	65595397
chr2	59461284	59461484
chr10	98975037	98975237
chr1	180195866	180196066
chr10	83180259	83180459
chr8	87666016	87666216
chr10	118854555	118854755
chr11	97451524	97451724
chr13	60678468	60678668
chr14	27073603	27073803
chr12	108429684	108429884
chr14	51961441	51961641
chr5	45099127	45099327
chr6	51142669	51142869
chr15	80563299	80563499
chr13	56518719	56518919
chr1	153123283	153123483
chr9	11744456	11744656
chr15	63874712	63874912
chr12	109140438	109140638
chr7	96584651	96584851
chr18	36371443	36371643
chr17	27391561	27391761
chr5	78499372	78499572
chr18	54912610	54912810
chr9	53848767	53848967
chr17	56827048	56827248
chr9	94841559	94841759
chr12	107750787	107750987
chr14	45224136	45224336
chr14	100779850	100780050
chr10	50123307	50123507
chr14	114072235	114072435
chr18	20772277	20772477
chr12	104634454	104634654
chr12	73693248	73693448
chr16	89519282	89519482
chr19	59467203	59467403
chrX	35992170	35992370
chr6	30706311	30706511
chr6	140675782	140675982
chr16	14138949	14139149
chr10	80895913	80896113
chr1	80501756	80501956
chr11	57885669	57885869
chr19	56715690	56715890
chr16	85149575	85149775
chr5	49786162	49786362
chr6	28314249	28314449
chr9	22025857	22026057
chr10	99239749	99239949
chr19	44515952	44516152
chr8	3415374	3415574
chr15	42617588	42617788
chr19	3421470	3421670
chr11	119938216	119938416
chr13	69390002	69390202
chr12	56385797	56385997
chr10	11078607	11078807
chr11	25643346	25643546
chr5	93101779	93101979
chr4	59321261	59321461
chr6	134044315	134044515
chr5	26516150	26516350
chr12	105604873	105605073
chr17	23804840	23805040
chr19	15156220	15156420
chr4	45079262	45079462
chr17	26056716	26056916
chr4	105203197	105203397
chr11	33161521	33161721
chr11	117176202	117176402
chr6	100642966	100643166
chr7	71182660	71182860
chr10	122744371	122744571
chr13	73507819	73508019
chr2	91052595	91052795
chr15	80539197	80539397
chr10	25184124	25184324
chr10	20930555	20930755
chr19	20534409	20534609
chr5	114476245	114476445
chr4	83574124	83574324
chr18	25527788	25527988
chr6	126708634	126708834
chr5	93106179	93106379
chr8	26261820	26262020
chr13	91644273	91644473
chr17	79006832	79007032
chr3	88626248	88626461
chr1	4664902	4665102
chr17	12417314	12417514
chr3	74203480	74203680
chr2	9346725	9346925
chr17	45887230	45887430
chr15	53202147	53202347
chr17	28183783	28183983
chr1	67057503	67057703
chr7	30289230	30289430
chr8	109453381	109453581
chr15	42398302	42398502
chr1	126755028	126755228
chr11	106613513	106613713
chr11	82376370	82376584
chr17	47165510	47165710
chr17	73810881	73811081
chr2	160761096	160761296
chr12	82149376	82149576
chr11	61030480	61030680
chr5	98752864	98753064
chr12	40599344	40599544
chr19	47509629	47509829
chr5	124020190	124020390
chr2	146747409	146747609
chr18	69472259	69472459
chr10	100034030	100034230
chr12	60250241	60250441
chr8	90152601	90152801
chr4	82408908	82409108
chr4	125927190	125927390
chr4	114370137	114370337
chr6	50413764	50413964
chr14	36209871	36210071
chr11	121494277	121494477
chr12	86887972	86888172
chr19	35224802	35225002
chr2	169314006	169314206
chr9	54743797	54743997
chr2	70165659	70165859
chr1	179341454	179341654
chr2	167077766	167077966
chr15	33912668	33912868
chr6	86159281	86159481
chr3	152950002	152950202
chr13	20159017	20159217
chr14	7969976	7970176
chr2	94228992	94229192
chr12	111713911	111714111
chr19	37669316	37669516
chr1	77077317	77077517
chr14	71969605	71969805
chr2	116007887	116008087
chr14	67828794	67828994
chr19	17420219	17420419
chr15	53197747	53197947
chr1	156089399	156089599
chr5	93163948	93164148
chr8	122556758	122556958
chr5	3415572	3415772
chr8	120218890	120219090
chr11	86357296	86357496
chr1	92519420	92519620
chr14	10499355	10499555
chr7	81725321	81725521
chr14	41006124	41006324
chr1	133951732	133951932
chr10	82080900	82081100
chr16	95595480	95595680
chr11	52099555	52099755
chr11	63462422	63462622
chr9	8000889	8001089
chr3	57512318	57512518
chr15	98107098	98107298
chr17	85577629	85577829
chr14	12503233	12503433
chr8	26212523	26212723
chr9	52257423	52257623
chr1	10921820	10922020
chr6	54057372	54057572
chr6	134830624	134830824
chr18	83451323	83451523
chr19	10806039	10806239
chr7	73350616	73350816
chr13	101242099	101242299
chr1	102287910	102288110
chr18	46634609	46634809
chr7	116137045	116137245
chr6	146906125	146906325
chr7	100739787	100739987
chr18	62797895	62798095
chr9	43332996	43333196
chr12	99262419	99262619
chr16	93028878	93029101
chr15	56223047	56223247
chr9	75322166	75322366
chr14	39803697	39803897
chr10	25027023	25027223
chr12	101775645	101775845
chr3	107451973	107452173
chr2	16052460	16052660
chr7	123542478	123542678
chr8	5762964	5763164
chr13	71540437	71540637
chr19	57443099	57443299
chr6	39315985	39316185
chr16	92441563	92441763
chr4	154299964	154300164
chr9	97685497	97685697
chr2	73425417	73425617
chrX	42055721	42055921
chr13	57982660	57982860
chr4	145001861	145002061
chr5	139738933	139739133
chr6	115812228	115812428
chr13	47734453	47734653
chr10	100474590	100474790
chr18	23177984	23178184
chr5	111572972	111573172
chr14	7974376	7974576
chr11	62672053	62672253
chr1	185049916	185050116
chr6	129816851	129817051
chr1	119196864	119197064
chr11	3876559	3876759
chr9	102658983	102659183
chr10	120979146	120979346
chr18	57405829	57406029
chr13	69329539	69329739
chr4	108329919	108330119
chr10	9162359	9162559
chr18	37090027	37090227
chr12	100506762	100506962
chr15	98111498	98111698
chr15	80932739	80932939
chr2	33430682	33430882
chr1	177333430	177333630
chr6	144963749	144963949
chr16	10454944	10455144
chr6	79815582	79816009
chr19	31137992	31138192
chr3	122275873	122276073
chr7	67734228	67734428
chr5	111927473	111927673
chr1	143811877	143812077
chr15	64269656	64269856
chr13	96024226	96024426
chr10	9416344	9416544
chr8	17296259	17296459
chr19	55099519	55099719
chr6	38568525	38568725
chr13	45580190	45580390
chr5	144263000	144263200
chr7	129660386	129660586
chr10	9420744	9420944
chr10	59904176	59904376
chr13	69394402	69394602
chr10	128835442	128835642
chr13	111404678	111404939
chr5	67028212	67028412
chr10	106260971	106261171
chr19	22419555	22419755
chr1	134985261	134985461
chr7	142663364	142663564
chr11	35392003	35392203
chr11	119168342	119168542
chr5	92195351	92195551
chrX	133980320	133980520
chr12	107952980	107953180
chr6	49011230	49011430
chr6	122274680	122274880
chr8	72356726	72356926
chr12	28404571	28404771
chr1	37716088	37716288
chr18	47175274	47175474
chr7	103858010	103858210
chr2	5413847	5414047
chr5	105790561	105790761
chr8	108288469	108288675
chr4	150336844	150337044
chr2	164746912	164747112
chr9	26478663	26478863
chr4	147693453	147693653
chr3	84041059	84041259
chr15	25577033	25577233
chr11	101640527	101640727
chr5	122531796	122531996
chr5	119549276	119549476
chr4	43476005	43476205
chr8	122071461	122071661
chr6	86305594	86305794
chr4	88194029	88194229
chr5	129588516	129588716
chr6	148236103	148236303
chr5	81588094	81588294
chr2	101688200	101688400
chr19	12773133	12773333
chr5	115973645	115973845
chr17	13745688	13745888
chr9	41150909	41151109
chr13	4658723	4658923
chr12	100372047	100372247
chr5	50506057	50506257
chr5	23167993	23168193
chr5	111212487	111212687
chr1	131508276	131508476
chr18	74938692	74938892
chr1	131549462	131549662
chr10	118858955	118859155
chr13	60082722	60082922
chr6	121019530	121019730
chr6	4384314	4384514
chr4	154106943	154107143
chr18	45541383	45541583
chr2	157650514	157650714
chr8	25432109	25432309
chr9	105960210	105960410
chr19	58321328	58321528
chr4	16422122	16422322
chr15	30527111	30527311
chr14	49173743	49173943
chr13	12049817	12050017
chr9	43337396	43337596
chr18	83095197	83095397
chr15	77205979	77206192
chr10	88570900	88571100
