chrom	start	end
chr1	7139153	7139353
chr1	7540750	7540950
chr1	10880319	10880519
chr1	10955247	10955447
chr1	14739894	14740094
chr1	21029068	21029268
chr1	22664430	22664630
chr1	23899706	23899906
chr1	24550186	24550386
chr1	24557884	24558084
chr1	24684573	24684773
chr1	26426311	26426511
chr1	30786292	30786492
chr1	33765539	33765739
chr1	34409700	34409900
chr1	36699096	36699296
chr1	36811299	36811499
chr1	37530202	37530402
chr1	37532965	37533165
chr1	37687113	37687313
chr1	37718288	37718488
chr1	37726626	37726826
chr1	38826777	38826977
chr1	39196070	39196270
chr1	39206812	39207012
chr1	39271613	39271813
chr1	39314074	39314274
chr1	39870169	39870369
chr1	39940944	39941144
chr1	40362767	40362967
chr1	49072926	49073126
chr1	51873352	51873552
chr1	52648980	52649180
chr1	52798852	52799052
chr1	53876027	53876227
chr1	54251290	54251490
chr1	56955786	56955986
chr1	57339514	57339714
chr1	58210703	58210903
chr1	58746874	58747074
chr1	61415965	61416165
chr1	63264648	63264848
chr1	64617922	64618122
chr1	64642821	64643021
chr1	64917032	64917232
chr1	66176444	66176644
chr1	66426182	66426382
chr1	66427837	66428037
chr1	67101412	67101612
chr1	67113335	67113535
chr1	68892941	68893141
chr1	68952924	68953124
chr1	71845116	71845316
chr1	72228688	72228888
chr1	74704083	74704283
chr1	75587872	75588072
chr1	76112965	76113165
chr1	76866896	76867096
chr1	79406396	79406596
chr1	79561264	79561464
chr1	79694990	79695190
chr1	81178645	81178845
chr1	87416475	87416675
chr1	87454374	87454574
chr1	87785458	87785658
chr1	88720886	88721086
chr1	88753082	88753282
chr1	88998035	88998235
chr1	89069281	89069481
chr1	89164706	89164911
chr1	89594924	89595124
chr1	89750919	89751119
chr1	90618365	90618565
chr1	90970680	90970880
chr1	91064992	91065217
chr1	91298978	91299178
chr1	91633617	91633817
chr1	92232597	92232797
chr1	93053628	93053828
chr1	95397428	95397628
chr1	95879032	95879232
chr1	96768061	96768261
chr1	97701414	97701614
chr1	97767108	97767308
chr1	101596258	101596458
chr1	104914186	104914386
chr1	105808570	105808770
chr1	106200822	106201022
chr1	106274740	106274940
chr1	118038022	118038222
chr1	119674315	119674515
chr1	125496115	125496315
chr1	127902665	127902865
chr1	131512019	131512219
chr1	131754695	131754895
chr1	132006806	132007006
chr1	132805759	132805959
chr1	132893533	132893733
chr1	133953309	133953509
chr1	133953932	133954132
chr1	135463289	135463489
chr1	135481722	135481922
chr1	136175340	136175551
chr1	136293240	136293440
chr1	136699683	136699883
chr1	137000691	137000891
chr1	137585557	137585757
chr1	137916623	137916823
chr1	143814077	143814277
