chrom	start	end
chr8	99400677	99400877
chr5	64282180	64282380
chr4	136577782	136577982
chr4	132959234	132959434
chr3	108358380	108358580
chr15	86032462	86032662
chr15	22103760	22103960
chr11	35780180	35780380
chr10	20907168	20907368
chr1	95397487	95397687
chr1	7139210	7139410
chr9	113627068	113627268
chr9	112222425	112222625
chr9	108809237	108809437
chr9	103134867	103135067
chr9	96758823	96759023
chr9	75520934	75521134
chr9	64178165	64178365
chr9	56443472	56443672
chr9	50701084	50701284
chr9	49708959	49709159
chr9	46110713	46110913
chr9	20875604	20875804
chr9	7998637	7998837
chr8	125586136	125586336
chr8	123958356	123958556
chr8	122894724	122894924
chr8	114707546	114707746
chr8	94200724	94200924
chr8	91637833	91638033
chr8	86728101	86728301
chr8	70481441	70481641
chr8	66603607	66603807
chr8	64789637	64789837
chr8	54248604	54248804
chr8	47628399	47628599
chr8	36779912	36780112
chr8	34152490	34152690
chr8	24035896	24036096
chr8	14952856	14953056
chr8	14606377	14606577
chr7	144394604	144394804
chr7	140837871	140838071
chr7	123001821	123002021
chr7	111245551	111245751
chr7	100769544	100769744
chr7	97331436	97331636
chr7	96919645	96919845
chr7	76410861	76411061
chr7	68103934	68104134
chr7	64628283	64628483
chr7	49558837	49559037
chr7	46854438	46854638
chr7	28823274	28823474
chr7	16974131	16974331
chr6	128006250	128006450
chr6	125193555	125193755
chr6	121017271	121017471
chr6	119796928	119797128
chr6	118036318	118036518
chr6	113853566	113853766
chr6	89594577	89594777
chr6	89162252	89162452
chr6	72655788	72655988
chr6	72111236	72111436
chr6	51593457	51593657
chr6	39926389	39926589
chr6	39318194	39318394
chr6	24378646	24378846
chr5	150614567	150614767
chr5	148866938	148867138
chr5	134468340	134468540
chr5	131089409	131089609
chr5	117788970	117789170
chr5	110416950	110417150
chr5	99309531	99309731
chr5	75987472	75987672
chr5	65293706	65293906
chr5	53262060	53262260
chr5	45101391	45101591
chr5	30721584	30721784
chr5	20104796	20104996
chr5	17617591	17617791
chr4	154974139	154974339
chr4	154044331	154044531
chr4	152226437	152226637
chr4	152141239	152141439
chr4	139290834	139291034
chr4	134803561	134803761
chr4	129933697	129933897
chr4	123525448	123525648
chr4	106402228	106402428
chr4	101259976	101260176
chr4	85376336	85376536
chr4	46885766	46885966
chr4	32537319	32537519
chr4	9323981	9324181
chr3	157954296	157954496
chr3	146917398	146917598
chr3	146584209	146584409
chr3	146039666	146039866
chr3	143509024	143509224
chr3	139782519	139782719
chr3	124324809	124325009
chr3	109526770	109526970
chr3	105041242	105041442
chr3	100906915	100907115
chr3	62747773	62747973
chr2	173143926	173144126
chr2	166950094	166950294
chr2	161225810	161226010
chr2	160758967	160759167
chr2	157804775	157804975
chr2	154674687	154674887
chr2	144319760	144319960
chr2	135224492	135224692
chr2	132059950	132060150
chr2	92941768	92941968
chr2	92608410	92608610
chr2	61686103	61686303
chr2	59825064	59825264
chr2	33134528	33134728
chr2	33054145	33054345
chr2	18209520	18209720
chr2	7241879	7242079
chr19	40493384	40493584
chr19	36358146	36358346
chr19	23150153	23150353
chr19	20536634	20536834
chr18	80059379	80059579
chr18	69619746	69619946
chr18	65204531	65204731
chr18	56536711	56536911
chr18	34940132	34940332
chr18	34228569	34228769
chr18	28173953	28174153
chr18	7756408	7756608
chr18	6482923	6483123
chr17	83788868	83789068
chr17	80255516	80255716
chr17	73808749	73808949
chr17	70342036	70342236
chr17	46346271	46346471
chr17	43060714	43060914
chr17	25918589	25918789
chr17	8893386	8893586
chr17	8858505	8858705
chr17	6742571	6742771
chr16	92451743	92451943
chr16	89516426	89516626
chr16	85133863	85134063
chr16	38138860	38139060
chr16	10502690	10502890
chr15	97507699	97507899
chr15	27886948	27887148
chr15	27676251	27676451
chr14	120981060	120981260
chr14	106119472	106119672
chr14	103817083	103817283
chr14	66865048	66865248
chr14	48277992	48278192
chr14	34769893	34770093
chr14	30858302	30858502
chr14	10497172	10497372
chr13	115122845	115123045
chr13	113394579	113394779
chr13	111406909	111407109
chr13	104943944	104944144
chr13	69646139	69646339
chr13	51119679	51119879
chr13	45691730	45691930
chr13	10235951	10236151
chr12	105031034	105031234
chr12	88731638	88731838
chr12	86923636	86923836
chr12	58805987	58806187
chr12	39730744	39730944
chr12	6264062	6264262
chr12	3788774	3788974
chr11	119953621	119953821
chr11	119936053	119936253
chr11	118527114	118527314
chr11	117208506	117208706
chr11	115695389	115695589
chr11	105258929	105259129
chr11	101115250	101115450
chr11	99259543	99259743
chr11	90639566	90639766
chr11	80494410	80494610
chr11	72205081	72205281
chr11	70040265	70040465
chr11	60715405	60715605
chr11	59485719	59485919
chr11	48807669	48807869
chr11	46039109	46039309
chr11	44158415	44158615
chr11	7080861	7081061
chr11	3742527	3742727
chr10	111547652	111547852
chr10	99619133	99619333
chr10	94977659	94977859
chr10	90432528	90432728
chr10	77238025	77238225
chr10	70000270	70000470
chr10	60891025	60891225
chr10	59773962	59774162
chr10	59590557	59590757
chr10	59131953	59132153
chr10	39350251	39350451
chr10	25219863	25220063
chr1	191645604	191645804
chr1	177428312	177428512
chr1	167947666	167947866
chr1	164439206	164439406
chr1	153776310	153776510
chr1	132805818	132806018
chr1	127902688	127902888
chr1	106274727	106274927
chr1	95878981	95879181
chr1	88752991	88753191
chr1	64642763	64642963
chr1	54251219	54251419
chr1	37530113	37530313
chr1	36811338	36811538
chrX	85743702	85743902
chr9	113631513	113631713
chr9	66612304	66612504
chr9	56949999	56950199
chr9	44820594	44820794
chr8	86437659	86437859
chr8	47268450	47268650
chr7	68815662	68815862
chr6	113827763	113827963
chr6	31114431	31114631
chr5	112743157	112743357
chr5	88642829	88643029
chr4	135967099	135967299
chr4	40218231	40218431
chr3	32748426	32748626
chr2	27121424	27121624
chr18	47177404	47177604
chr18	6441701	6441901
chr17	63875329	63875529
chr17	49464509	49464709
chr16	4147575	4147775
chr15	80365671	80365871
chr13	101419898	101420098
chr13	69491815	69492015
chr12	71580604	71580804
chr10	95223613	95223813
chr10	94086210	94086410
chr10	79723390	79723590
chr10	59110529	59110729
chr10	40440675	40440875
chr1	119674282	119674482
chrX	164426471	164426677
chrX	158044426	158044632
chrX	133818318	133818524
chrX	106102274	106102480
chrX	74031605	74031982
chr9	121690534	121690740
chr9	66093234	66093440
chr9	60808049	60808255
chr9	58374359	58374565
chr9	37125612	37125818
chr8	114458429	114458635
chr8	93287741	93287963
chr8	86853312	86853518
chr8	78698668	78698874
chr8	69912704	69912910
chr8	48781835	48782041
chr8	23149314	23149598
chr8	14982231	14982437
chr7	139368826	139369146
chr7	133839652	133839858
chr7	132091663	132091887
chr7	123791004	123791210
chr7	123297521	123297727
chr7	122414193	122414399
chr7	117573196	117573462
chr7	116134866	116135072
chr7	89891307	89891523
chr7	84587471	84587677
chr7	80613651	80613957
chr7	74173805	74174011
chr7	66867235	66867441
chr7	63668296	63668512
chr7	45949297	45949503
chr7	45037700	45037906
chr7	36773475	36773691
chr7	34292714	34292930
chr7	30332642	30332864
chr7	15981646	15981950
chr6	127678381	127678587
chr6	125155371	125155577
chr6	125005343	125005549
chr6	121051568	121051774
chr6	114934045	114934386
chr6	108326703	108326926
chr6	100500319	100500525
chr6	95234819	95235025
chr6	88188392	88188598
chr6	88019686	88019892
chr6	86395121	86395327
chr6	83444811	83445017
chr6	72650497	72650703
chr6	50744421	50744627
chr6	50523045	50523251
chr6	50411651	50411857
chr6	48518142	48518348
chr6	35288540	35288784
chr6	31075570	31075776
chr6	30411196	30411475
chr5	150156885	150157091
chr5	146951833	146952078
chr5	144033443	144033649
chr5	140006736	140006942
chr5	138976621	138976827
chr5	137733565	137733850
chr5	134698739	134698945
chr5	124461685	124461990
chr5	124025923	124026139
chr5	123094537	123094753
chr5	116040525	116040731
chr5	81024679	81024885
chr5	67837412	67837618
chr5	65575955	65576161
chr5	64374909	64375163
chr5	56460516	56460754
chr5	52220476	52220682
chr5	50503867	50504073
chr5	48889088	48889294
chr5	41599129	41599439
chr5	39620616	39620834
chr5	12665001	12665207
chr4	155287901	155288203
chr4	151875001	151875287
chr4	151060697	151060903
chr4	141524014	141524220
chr4	139263072	139263291
chr4	128427332	128427538
chr4	124859409	124859634
chr4	119949222	119949563
chr4	118147629	118147835
chr4	103288522	103288728
chr4	53539712	53539918
chr4	45081374	45081684
chr4	41164728	41164934
chr4	13844589	13844795
chr3	152792688	152792970
chr3	145933825	145934031
chr3	129165703	129166028
chr3	107534436	107534783
chr3	90507652	90507858
chr3	85186612	85186846
chr3	56739543	56739759
chr3	51478746	51478964
chr3	32403907	32404113
chr3	9974206	9974412
chr2	178159231	178159437
chr2	163426655	163426861
chr2	162657733	162657939
chr2	160656322	160656528
chr2	155070999	155071205
chr2	132697955	132698161
chr2	132511999	132512205
chr2	119679519	119679725
chr2	105408813	105409152
chr2	76279851	76280057
chr2	68568501	68568707
chr2	61578658	61578903
chr2	59513727	59514118
chr2	27496255	27496461
chr19	57655705	57655934
chr19	56756292	56756498
chr19	55101695	55101901
chr19	48124201	48124436
chr19	16284992	16285198
chr19	12638127	12638401
chr18	83488677	83488995
chr18	82691302	82691508
chr18	82479773	82479989
chr18	77504508	77504714
chr18	74954803	74955009
chr18	69403532	69403738
chr18	67955810	67956082
chr18	65671235	65671554
chr18	24236834	24237040
chr18	12956290	12956496
chr17	86178362	86178666
chr17	85817498	85817704
chr17	56464842	56465222
chr17	56139178	56139384
chr17	49109285	49109491
chr17	43158029	43158380
chr17	34608039	34608307
chr17	27072454	27072660
chr17	8606876	8607082
chr17	5643557	5643783
chr17	5494887	5495093
chr17	4728336	4728565
chr16	94865186	94865402
chr16	36641104	36641310
chr16	12097146	12097388
chr16	8733545	8733751
chr15	99435541	99435747
chr15	97932570	97932929
chr15	80015736	80015942
chr15	78162366	78162572
chr15	73154736	73154942
chr15	65593023	65593260
chr15	36500689	36500895
chr15	31255141	31255474
chr15	27806398	27806604
chr15	7194227	7194433
chr14	117895738	117895944
chr14	77508212	77508418
chr14	74879496	74879702
chr14	39458102	39458308
chr14	29531797	29532003
chr14	27602485	27602691
chr14	23930301	23930546
chr14	3824244	3824557
chr13	115052346	115052552
chr13	108273007	108273213
chr13	95957225	95957431
