chrom	start	end
chr1	10919620	10919820
chr1	18583808	18584008
chr1	20520165	20520365
chr1	21418659	21418859
chr1	21973554	21973754
chr1	23834518	23834718
chr1	34121449	34121649
chr1	35528446	35528646
chr1	37965282	37965482
chr1	40440135	40440335
chr1	41520864	41521064
chr1	52306926	52307126
chr1	53773847	53774047
chr1	55224283	55224483
chr1	57822230	57822430
chr1	60361320	60361520
chr1	60668318	60668518
chr1	63897583	63897783
chr1	64277654	64277854
chr1	73734754	73734954
chr1	75749834	75750037
chr1	82592567	82592767
chr1	86053576	86053776
chr1	87640441	87640683
chr1	89483493	89483693
chr1	92835842	92836042
chr1	98395427	98395627
chr1	105427857	105428057
chr1	112858597	112858797
chr1	119802634	119802834
chr1	120824667	120824867
chr1	126557428	126557628
chr1	131053014	131053214
chr1	132522982	132523182
chr1	132948211	132948411
chr1	152899747	152899947
chr1	153741617	153741817
chr1	154779862	154780062
chr1	156024424	156024624
chr1	160290431	160290631
chr1	163250287	163250487
chr1	163399014	163399214
chr1	163972117	163972317
chr1	168300612	168300812
chr1	171177289	171177489
chr1	171192411	171192611
chr1	175887751	175887951
chr1	176934514	176934714
chr1	179705079	179705279
chr1	182086140	182086340
chr1	182297118	182297318
chr1	186546435	186546635
chr1	190080293	190080493
chr1	190323925	190324125
chr1	190863977	190864177
chr1	191402733	191402933
chr10	11491890	11492104
chr10	12726323	12726523
chr10	12814067	12814267
chr10	23165199	23165399
chr10	25507892	25508092
chr10	30198698	30198922
chr10	40059464	40059664
chr10	40354408	40354608
chr10	43059608	43059808
chr10	53993676	53993876
chr10	54187258	54187458
chr10	58714462	58714678
chr10	59736155	59736398
chr10	61150633	61150833
chr10	62119399	62119599
chr10	69099511	69099711
chr10	71147057	71147257
chr10	72533908	72534108
chr10	72596328	72596528
chr10	75258886	75259086
chr10	83107841	83108041
chr10	83178059	83178259
chr10	88568700	88568900
chr10	88682769	88682969
chr10	90155282	90155482
chr10	109683729	109683929
chr10	110952909	110953140
chr10	117478203	117478409
chr10	121077043	121077243
chr10	121223033	121223233
chr10	123160597	123160797
chr10	125324499	125324699
chr10	129139246	129139446
chr11	10355616	10355816
chr11	12231350	12231550
chr11	20858541	20858759
chr11	29052915	29053115
chr11	31515965	31516165
chr11	32108840	32109040
chr11	34305909	34306109
chr11	35360683	35360883
chr11	35553427	35553627
chr11	36043632	36043832
chr11	36623827	36624027
chr11	36686634	36686834
chr11	45503482	45503682
chr11	50744864	50745064
chr11	52359704	52359904
chr11	53068594	53068794
chr11	54071658	54071858
chr11	55978523	55978723
chr11	56416611	56416911
chr11	56863940	56864140
chr11	59770975	59771175
chr11	60545573	60545779
chr11	61499891	61500091
chr11	61985293	61985493
chr11	63524475	63524675
chr11	64335461	64335661
chr11	64599121	64599321
chr11	65118935	65119135
chr11	71027443	71027643
chr11	78381070	78381270
chr11	80678494	80678694
chr11	87319251	87319451
chr11	90586290	90586490
chr11	92866514	92866714
chr11	95651073	95651273
chr11	96743131	96743331
chr11	100606374	100606574
chr11	101454570	101454770
chr11	105661162	105661362
chr11	107432741	107432941
chr11	107778180	107778380
chr11	109903259	109903459
chr11	115615157	115615357
chr11	117341057	117341257
chr11	118327692	118327892
chr11	119277607	119277807
chr11	119363943	119364143
chr11	119840381	119840581
chr11	120092902	120093102
chr12	3136055	3136255
chr12	4007867	4008067
chr12	5089244	5089444
chr12	8257289	8257489
chr12	16110536	16110736
chr12	16515736	16515936
chr12	46765825	46766025
chr12	50191698	50191898
chr12	58653429	58653629
chr12	61316786	61316986
chr12	65413412	65413612
chr12	85194894	85195094
chr12	85910859	85911059
chr12	85970393	85970593
chr12	86814785	86814985
chr12	87024090	87024290
chr12	98619884	98620084
chr12	99260219	99260419
chr12	99467808	99468014
chr12	99468173	99468373
chr12	103179634	103179834
chr12	103581882	103582082
chr12	104450531	104450731
chr12	104754417	104754617
chr12	105662671	105662871
chr12	106115859	106116059
chr12	106447624	106447824
chr12	106699711	106699911
chr12	107169501	107169701
chr12	111709272	111709472
chr12	111978841	111979041
chr12	112236202	112236402
chr12	112587925	112588125
chr12	119194534	119194734
chr13	3118694	3118894
chr13	3758692	3758892
chr13	11992361	11992561
chr13	12256565	12256765
chr13	20798027	20798227
chr13	24786061	24786261
chr13	24863372	24863572
chr13	27174415	27174615
chr13	30417294	30417494
chr13	32382212	32382412
chr13	36554925	36555125
chr13	41550306	41550506
chr13	46266388	46266588
chr13	46945732	46945932
chr13	48384555	48384755
chr13	48958624	48958824
chr13	51071998	51072198
chr13	55957431	55957631
chr13	56111880	56112080
chr13	56892340	56892540
chr13	57430228	57430428
chr13	59619774	59619974
