chrom	start	end
chr9	35336316	35336516
chr6	117562707	117562907
chr5	142409071	142409271
chr18	54540519	54540719
chr17	66670961	66671161
chr15	80415936	80416136
chr14	66111544	66111744
chr13	56111902	56112102
chr12	112236270	112236470
chr12	107169464	107169664
chr12	105662580	105662780
chr11	10355549	10355749
chr1	190863929	190864129
chr1	60361285	60361485
chr1	37965314	37965514
chr9	115933784	115933984
chr9	71561168	71561368
chr6	51333011	51333211
chr18	58444764	58444964
chr7	40042057	40042257
chr6	24360018	24360218
chr4	84871181	84871381
chr19	58996677	58996877
chr1	73734768	73734968
chr7	89978154	89978354
chr7	42737486	42737686
chr6	128856431	128856631
chr6	127057220	127057420
chr6	123817942	123818142
chr5	25695722	25695922
chr4	131175540	131175740
chr4	46588140	46588340
chr4	46192922	46193122
chr16	43464208	43464408
chr1	190323866	190324066
chr1	163972139	163972339
chr9	117064296	117064496
chr9	49063998	49064198
chr9	45384771	45384971
chr9	14877826	14878026
chr8	107030409	107030609
chr7	142070269	142070469
chr7	82842769	82842969
chr6	108606162	108606362
chr6	23209501	23209701
chr6	14600923	14601123
chr6	4730034	4730234
chr5	110630790	110630990
chr4	59335961	59336161
chr4	49318456	49318656
chr4	14761498	14761698
chr3	122305261	122305461
chr19	29327635	29327835
chr16	90138462	90138662
chr16	12151899	12152099
chr15	102167282	102167482
chr13	96168949	96169149
chr12	103179554	103179754
chr12	87024148	87024348
chr12	58653411	58653611
chr10	121077057	121077257
chr1	171177255	171177455
chr1	21973627	21973827
chrX	150474218	150474418
chr9	32185198	32185398
chr8	108932014	108932214
chr8	63797983	63798183
chr6	100645096	100645296
chr5	119410973	119411173
chr5	90205113	90205313
chr4	133685063	133685263
chr2	141756253	141756453
chr2	77287481	77287681
chr17	81016894	81017094
chr17	43362762	43362962
chr13	114144558	114144758
chr13	113292262	113292462
chr13	51072066	51072266
chr13	24863386	24863586
chr11	120092885	120093085
chr11	53068530	53068730
chr10	117478288	117478488
chr10	59736186	59736386
chr10	40059497	40059697
chr1	86053662	86053862
chr9	104300404	104300610
chr8	60900381	60900638
chr7	110088031	110088250
chr7	92361153	92361371
chr7	54067266	54067489
chr6	108278110	108278421
chr6	38885061	38885274
chr5	147997480	147997783
chr5	89174624	89174912
chr5	36447126	36447348
chr5	23508766	23508989
chr2	63945191	63945472
chr2	11683001	11683258
chr2	11494922	11495130
chr19	16646375	16646622
chr18	70545138	70545480
chr18	36377962	36378199
chr17	3344918	3345187
chr17	3036484	3036775
chr15	75988560	75988826
chr15	5479729	5480076
chr14	118070429	118070700
chr14	97396937	97397284
chr14	78531022	78531328
chr12	119194442	119194781
chr12	106447653	106447889
chr11	56416670	56416894
chr10	23165110	23165346
chr1	156024364	156024638
chr1	154779779	154780024
chr1	112858624	112858883
chr1	89483460	89483775
chrX	133729038	133729247
chr9	90840122	90840331
chr9	87139520	87139761
chr9	52259597	52259862
chr9	49505362	49505654
chr8	109701437	109701645
chr8	84089389	84089605
chr8	78731968	78732176
chr8	11094507	11094870
chr7	144189465	144189674
chr7	141403373	141403581
chr7	104860517	104860726
chr7	44675358	44675571
chr6	134044614	134044823
chr6	113487141	113487525
chr6	99191960	99192173
chr6	82722804	82723086
chr6	49923251	49923460
chr6	34481435	34481643
chr6	3476141	3476349
chr5	150081012	150081221
chr5	149474741	149474950
chr5	121996080	121996289
chr5	119178698	119178911
chr5	118113870	118114078
chr5	101877859	101878067
chr5	97082574	97082783
chr5	78501576	78501789
chr5	60925237	60925450
chr4	130323997	130324205
chr4	57897099	57897308
chr4	35438686	35438899
chr3	129932717	129932926
chr3	101551539	101551747
chr3	45524427	45524636
chr3	45408393	45408606
chr3	35592930	35593139
chr3	27716055	27716263
chr2	160156534	160156742
chr2	143714576	143714784
chr2	59614357	59614566
chr2	32708954	32709183
chr2	27146900	27147252
chr2	5036580	5036789
chr2	4904884	4905092
chr19	56214123	56214336
chr19	46548149	46548358
chr18	79024150	79024363
chr18	77650846	77651183
chr18	75051596	75051809
chr18	68352319	68352528
chr18	49593317	49593598
chr18	33471265	33471474
chr18	31578678	31578997
chr18	17584502	17584828
chr18	7886706	7886980
chr17	79868062	79868387
chr17	65049739	65049948
chr16	52205014	52205223
chr15	103285568	103285777
chr15	94559119	94559332
chr15	28987541	28987754
chr14	94292328	94292537
chr14	51915323	51915537
chr13	114110539	114110748
chr13	68175311	68175520
chr13	30417321	30417559
chr13	24786115	24786324
chr13	20797962	20798290
chr12	99260277	99260485
chr11	119840351	119840564
chr11	115615236	115615449
chr11	105661079	105661295
chr11	65118874	65119087
chr11	61985332	61985545
chr11	36686690	36686899
chr11	20858573	20858786
chr10	88682788	88683045
chr1	168300564	168300773
chr1	131052953	131053184
chr1	105427828	105428107
chr1	10919624	10919837
chr9	91393388	91393702
chr9	77629925	77630134
chr7	128629454	128629684
chr6	31646942	31647225
chr4	59796464	59796720
chr3	158041085	158041321
chr3	142497301	142497502
chr2	160436054	160436263
chr19	30097085	30097299
chr18	68295507	68295715
chr16	43606451	43606652
chr14	58574392	58574604
chr13	93920875	93921082
chr11	119277652	119277852
chr1	179705105	179705305
chr1	163250261	163250566
chr1	63897537	63897837
chr3	104795468	104795676
chr3	58089710	58089917
chr2	118761638	118761845
chr1	191402793	191403000
chr1	75749855	75750067
chr8	120358435	120358640
chr7	6287469	6287783
chr6	37159090	37159291
chr5	149970566	149970775
chr5	110360722	110360923
chr4	28945915	28946124
chr18	83281230	83281439
chr17	43069387	43069588
chr15	21603784	21603985
chr15	20864250	20864494
chr13	12256514	12256723
chr12	16110592	16110801
chr11	63524494	63524703
chr11	59770896	59771105
chr10	75258828	75259029
chr10	72533888	72534089
chr1	87640491	87640735
chr9	118544943	118545143
chr9	88705247	88705447
chr9	48479513	48479718
chr8	72091669	72091955
chr8	46706865	46707182
chr8	26259603	26259803
chr7	97539971	97540171
chr7	79225636	79225836
chr6	88012516	88012784
chr6	59054877	59055082
chr6	52130396	52130601
chr5	115982955	115983155
chr5	103936902	103937107
chr5	72267816	72268021
chr5	67823601	67823808
chr4	140547879	140548079
chr4	137783518	137783718
chr4	72172990	72173332
chr4	9907706	9907997
chr3	151550793	151550993
chr3	59205171	59205376
chr2	101898054	101898388
chr2	75150073	75150273
chr2	53053719	53053919
chr19	57743091	57743296
chr19	57667132	57667332
chr19	20245663	20245863
chr19	18591673	18591873
chr19	10803886	10804091
chr18	76908236	76908441
chr17	66417106	66417314
chr15	13088910	13089115
chr14	22425318	22425523
chr14	8602442	8602659
chr13	79397153	79397353
chr13	69331776	69331981
chr12	104450582	104450790
chr12	99467854	99468054
chr12	50191752	50191952
chr12	3136067	3136267
chr11	100606307	100606507
chr11	71027381	71027586
chr11	12231287	12231487
chr10	110952997	110953197
chr10	54187194	54187394
chr10	40354376	40354576
chr1	18583827	18584027
chr8	111366575	111366775
chr6	6562654	6562859
chr5	100554409	100554609
chr19	31135815	31136015
chr17	4865383	4865583
chr15	99547740	99547940
chr15	6725495	6725700
chr10	30198672	30198900
chr7	138817509	138817717
chr6	69614196	69614404
chr6	68783452	68783652
chr5	138562299	138562499
chr4	115744747	115744952
chr2	128629683	128629910
chr18	53145305	53145510
chr16	57924437	57924637
chr15	95825431	95825631
chr14	117531934	117532134
chr13	32382149	32382376
chr11	96743109	96743309
chr10	12813973	12814224
chrX	105884582	105884787
chr9	63098580	63098785
chr8	23532931	23533136
chr6	137493009	137493234
chr6	94610417	94610622
chr6	34536801	34537006
chr4	88309836	88310041
chr18	82870106	82870311
chr17	7284772	7284977
chr15	97596011	97596303
chr14	62174525	62174730
chr1	160290345	160290550
chr1	55224227	55224444
